No;Name;Call Sign
1;Use to Reflector;CQCQCQ
2;Repeater Informa;       I
5;Dstar Catalana;XLX715CL
6;Dstar Cat 214009;XLX901CL
7;Dstar Cat XLX901;XLX901AL
8;DSTAR CATALUNYA;XLX714FL
9;DSTAR-EA3HKB;XLX714CL
10;ARGENTINA LINK;XLX314AL
11;ADER ASSOCIACIO;DCS018AL
12;REM;DCS018BL
13;Dstar Spain D;DCS018DL
14;Dstar Spain EA3;DCS018OL
15;Dstar/Dmr+4374;XRF266BL
16;C4FM-LINK;XLX914AL
17;Andalucia Origin;XLX051HL
18;ADER EA3;XLX266NL
19;Dstar-->DCS018B;XRF241BL
20;REM /C4FM EA;XRF241LL
21;REM/DMR EA3;XRF241TL
22;C4FM-SPAIN;XLX214AL
23;DSTAR SPAIN;XLX214DL
24;PICTURE SPAIN;XLX214GL
25;Dstar Dmr+EA;XLX266BL
26;ARG LINK YSF;YS66099
27;YS62980 DMR +EA;YS62980
28;RCPCCE A;RCPCCE A
29;UNLINK RCPCCE;RCPCCE T
34;EA3IGY Josep;EA3IGY
35;EB3DKE Joan Ramo;EB3DKE
36;EA3CUI Jordi;EA3CUI
37;EA3ANS Quim;EA3ANS
38;EB3EKB Josep;EB3EKB
39;EA3CNO Toni;EA3CNO
40;EA3HWN Marcel-li;EA3HWN
